timestep,human_0,human_1,human_2,human_3,human_4,human_5,human_6,human_7,human_8,human_9,human_10,human_11,human_12,human_13,human_14,human_15,human_16,human_17,human_18,human_19,human_20,human_21,human_22,human_23,human_24,human_25,human_26,human_27,human_28,human_29,human_30,human_31,human_32,human_33,human_34,human_35,human_36,human_37,human_38,human_39,human_40,human_41,human_42,human_43,human_44,obj_0,obj_1,obj_2,obj_3,obj_4,joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,task_type
0,0.3541689067766649,0.24098027541849132,0.6671520202882129,0.7596030944829643,0.007708493370150227,0.3317564376179313,0.15525550282990785,0.5137932793167765,0.7751541086355975,0.4683862809854532,0.226154258064324,0.8108981623833479,0.6798907005475434,0.7655540653692772,0.7460899153521232,0.07477828457761937,0.14300260301612255,0.7393833139049522,0.5976187914025007,0.1702937842325315,0.739088733715713,0.35897296253816535,0.3515922560322813,0.9899814321202938,0.9131296794494072,0.9343429223038215,0.5144846314932107,0.30203929150643416,0.7873249348846537,0.13778297489231972,0.2610925161629587,0.7776194542596219,0.9438969586738148,0.3224414673173185,0.7529530848951228,0.572922858282617,0.8802770413184966,0.5255114613819684,0.31380161065151546,0.12021363852623013,0.19007131140145872,0.09703468699582785,0.8511001941242298,0.14065059885947662,0.87678109099861,0.0106209531123036,0.08853876455037846,0.9598711691926903,0.6663662392117375,0.2152083464176,153.1637526416167,128.39667196929904,73.49872325949484,32.93550843855395,141.54154196845903,30.824204902959377,pick
1,0.9478261461027417,0.23831964484592105,0.4368798568092769,0.09774121119528001,0.02316144902561812,0.47152958183367355,0.002885976041329008,0.7689236639342775,0.9772172154807688,0.7715031417254622,0.37808406571460507,0.4146509036789966,0.06788007552061148,0.26435051865818615,0.5463437597033034,0.21386006525228818,0.562162818906503,0.001212761779182836,0.7418887207898499,0.5597712665064875,0.28785788633587917,0.46516784780160314,0.48309341839488706,0.7035465948111297,0.23824855328732453,0.658587442100513,0.5242235046749204,0.0968262201615685,0.5218255397097532,0.01366278584151126,0.5546556029181469,0.19094481332807856,0.5963273191101985,0.9646114418897377,0.08892000510963427,0.8845872683398234,0.9819264907442814,0.3005410946619552,0.1886502860671404,0.2472701412582189,0.23946436729215248,0.7790267079401153,0.5415659312802802,0.6626355288264505,0.9368476299768693,0.2830043299364764,0.07093466448797425,0.6266058240785335,0.9547652976972474,0.7173201216627627,142.98827316577086,32.101902691391544,0.8399702046035373,174.53865876593898,33.7226669462843,37.183276325120495,move
2,0.5016812320391337,0.49877861704463,0.856691851447539,0.1390848405159858,0.29221030146398363,0.1176180555674029,0.009067306645670015,0.09378325581140778,0.6823227249980477,0.07400849427426737,0.32866865275741486,0.6506145232154991,0.8939264621641365,0.8398591867771954,0.17602939261187234,0.8126887018554644,0.5681503352178654,0.051916858902301244,0.27713908985637836,0.4525256618323008,0.1566449992490686,0.41352694259570055,0.6057636107737336,0.9436623467687991,0.03084165197088795,0.340954266995919,0.9510522903613471,0.7989405776971479,0.04513127323003474,0.41039219565717877,0.06383726410001467,0.4893020645771545,0.649466526809958,0.17638505778354518,0.7241628838926594,0.8846514839061105,0.9947558421906751,0.27814037792941126,0.45895039219224654,0.3889669295326287,0.9216770997873649,0.8478093808511891,0.676001505140012,0.36301181043700814,0.7077821871453343,0.5355321936857736,0.6002457524513558,0.011944141650365503,0.1631586013271683,0.9395425820031676,79.31079594198519,126.19061287190782,120.7826116971203,163.7002546921267,161.96070097167353,36.253350456992436,place
3,0.7856703613934424,0.13689661163601485,0.07974339284140974,0.690699062278589,0.23259389347439097,0.529183735167543,0.6969661818645383,0.4835290073044164,0.10028950863017927,0.9759194309799226,0.7958711660061196,0.004773600975297887,0.35259522709806457,0.10029045092134059,0.12481900013393121,0.8228431756974401,0.5066174389299526,0.9136687833198276,0.9437296288517543,0.9791741013395686,0.6984632894904408,0.548232021833002,0.47033685860169316,0.5103397427938755,0.27694861204509624,0.2718408744694387,0.9442532574525411,0.09342171278059586,0.19840276921184874,0.6417922126481028,0.4805362637725129,0.3939731099901832,0.6830888334966261,0.5979806596305477,0.6660046582326288,0.5541927244306584,0.563888588442207,0.23242695988810091,0.24444931672018888,0.48169529874977834,0.17301481850753786,0.7868344816582874,0.23672745792851568,0.6646432637323497,0.21745027275367013,0.9689139977225737,0.40610739174011823,0.12806681661285846,0.6600426508948842,0.6982574449863036,20.550314498212586,108.05226581592343,39.772434774005504,41.2956284125842,31.270112501947438,95.62064275344457,move
4,0.4869657782871044,0.08785470154199482,0.9900244480180417,0.6344996671517019,0.36903789609154936,0.4934567096301523,0.08135334930531679,0.32642868851777485,0.9125832037167547,0.5309308737793866,0.23600661226881048,0.008385217963765679,0.16522194761278697,0.22331285791719968,0.03823307009009891,0.1085100071306695,0.9402884380722571,0.33481089553959786,0.11417915928652567,0.7462913157643479,0.46999941415650015,0.8055808428760041,0.28907137924702264,0.8059640358048743,0.6160940168228706,0.3135488027915827,0.8812958580302329,0.26769132891088254,0.3887546573477364,0.32538257839834206,0.07858705568375468,0.9067984596411943,0.3965053173556323,0.16855253334342257,0.9619914944723572,0.8602597812520911,0.10822241149477818,0.7487363976775211,0.18748880122516798,0.7865938517797748,0.22148791548958158,0.9537648753697072,0.6269507858107363,0.20258691037804843,0.5890618380939635,0.6369657834532393,0.7058257767291148,0.2849882152200264,0.022332208557930278,0.10986083345425646,134.49714856323925,103.04086172458888,30.07264466153628,177.580566187099,90.15934702749843,44.436617230561865,move
5,0.7801560825536187,0.8974063738760235,0.08199280504920736,0.42732038124117167,0.475634231514796,0.6979768614850097,0.5955472809438769,0.3035288739542258,0.7194615081368654,0.29985777387040535,0.1308290593407474,0.905389348538078,0.8766804781390065,0.2917479372202385,0.7039307750755464,0.9339489728560554,0.19344980268214973,0.944911675703541,0.7774409595107037,0.5051261406540175,0.5017459522318856,0.8276338379875541,0.9280471001159066,0.027794762209163548,0.2060910815534227,0.5373085584551581,0.9377217819213748,0.9030675768991255,0.07390066426629993,0.44089286183084164,0.002162361694665882,0.8791734284459476,0.45032431398208106,0.55104652707056,0.42915308292420784,0.8605745032478532,0.5754276688695313,0.9846201077528208,0.07525598308578585,0.06868017711373187,0.4991989647966729,0.8308191655469049,0.33933576244825636,0.8095261314153137,0.3579428297178079,0.6081159638729512,0.15671182947876683,0.39120957549108804,0.020569339516531282,0.6543450347923576,47.393657313183596,3.4850814676433806,122.59571700261303,38.80363841309766,11.978630968972983,43.350746906396274,place
6,0.6296481683227111,0.9548526723354173,0.3916621236966271,0.6407839779261426,0.44553174344670665,0.04171561567474069,0.5085523680278212,0.1193576435336583,0.7276039446833152,0.1874239126758792,0.881394026741586,0.49444594020210897,0.7087094115750378,0.6475389848849207,0.6174559480977733,0.10413593419463552,0.44831055078376403,0.8635631575924763,0.7370682061768932,0.2941060899936544,0.19491679604533152,0.6477728442264475,0.9477075428516376,0.13739186793023195,0.4850597470470792,0.4304934809415266,0.17486219095522915,0.41974158748867596,0.2850064758374946,0.4334122950637983,0.20648972470108873,0.5056962854185589,0.6978191110500993,0.5443905284018786,0.5431666357777635,0.8581187427230996,0.2675914924272348,0.19418606539008498,0.4628376152767605,0.014378740626509012,0.3730276701369346,0.9937414254907668,0.00681531006771674,0.7634530916582888,0.18577600573348152,0.7176783369016867,0.20959974828275774,0.2815452030257609,0.6538269524761519,0.09868158085480849,25.578751087638004,145.77182313304237,57.059151766172995,43.99947102846855,23.652802884885567,121.06405529888966,sort
7,0.1733220893280515,0.6507912587045419,0.6311562914559745,0.9306129339487045,0.9102442316241044,0.03203573110472524,0.6797944056940458,0.05790746786153844,0.33389111533199345,0.7888910673906987,0.2501389688324308,0.6241769066306109,0.3442965129747628,0.5750969936838616,0.04117728526310216,0.21368632280493804,0.40163526361202395,0.9698614104663431,0.19969456402522978,0.598128255575148,0.6614514486428388,0.09815162531047028,0.16980201331499978,0.7992751813426902,0.8781811934564092,0.5784070916670295,0.10039255018403315,0.41828701083600617,0.013925661995067506,0.0022636259439540174,0.7500831941457395,0.6367018120940247,0.9101564572450758,0.8244476629770949,0.25691388388518976,0.9509701333664373,0.895247384026276,0.8695245134017379,0.4638061711355477,0.25522769221849717,0.964765022481413,0.9621908918304599,0.23283334267641098,0.24639446181258873,0.7003418153823204,0.004294694856672665,0.5475971105797557,0.8537371547735063,0.12021547243241204,0.11127454022281047,160.24777301808538,126.15381610569368,135.76340371701417,1.9989612329362871,126.95915080035468,29.202312321272885,pick
8,0.10453288725427379,0.49105498646873413,0.30133651032088826,0.39326850568867466,0.4108023898916331,0.02980654372331959,0.30787655230096533,0.23924985081687755,0.431924982975909,0.05241472762401633,0.882842541090654,0.23782396338994372,0.6385485581315388,0.40493573161847385,0.5634578459250217,0.2601861034315477,0.7868927034418214,0.8576561153630908,0.5474214954748905,0.029727430311326408,0.33907316383046904,0.30122012367541284,0.8165980866593976,0.3931352144879575,0.7828990990353806,0.67350752633547,0.8479524369133646,0.36594034164944544,0.22419488279128452,0.07981786533239721,0.43269603571159776,0.020817003856929084,0.15431309864613274,0.14525786635991111,0.703489412970582,0.9880135271975886,0.08171867016586876,0.39301026460474375,0.961911807453277,0.25733118965309654,0.35683557481773465,0.2533997981241385,0.2675249794090272,0.5869289326545499,0.1351965080954376,0.12118546513071793,0.7050865326209049,0.20902975000930724,0.3993007309272014,0.38186226439785753,26.898198958803047,52.460144339823046,49.76454463685589,37.70630176872786,114.01184664630158,135.30685931819136,pick
9,0.8591817978460115,0.037072604131876186,0.6422422347774522,0.2449308989665533,0.7887577113198293,0.7044486014586844,0.9496446191333233,0.296754568242131,0.8147830685303176,0.8793578789594984,0.2182308744638618,0.719103380953072,0.3956516303416413,0.20525417390816691,0.8843685630325302,0.6522151045768727,0.5843557574032572,0.5594439217446083,0.7492097058805717,0.30980182829126723,0.9812071562054747,0.5008024706239591,0.8995706084309957,0.8078452852981672,0.6127717671794016,0.672887834676035,0.3402423335124417,0.5969966492196132,0.0732329944218677,0.6470203458394423,0.21598147633991405,0.6661315191715724,0.7926330504660805,0.9132593651792973,0.8473927828110576,0.932253812857996,0.2436059331088697,0.7861605216119748,0.18067392944561955,0.7364643304776818,0.9964916434685339,0.020789044058037498,0.8743220608431762,0.12442662931268367,0.5040363104492616,0.783414895222608,0.2075422119153335,0.2711306374492479,0.9020571463774933,0.39428039404619186,54.65258637730905,65.21077425132373,132.8068863579309,89.53946185952545,172.56383738531358,110.20914417365994,sort
